nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
México,126014024,1964375,América
Colombia,50882891,1141748,América
Chile,19116201,756102,América
Perú,32971846,1285216,América
Venezuela,28435943,916445,América
España,47351567,505990,Europa
Francia,67391582,551695,Europa
Alemania,83149300,357022,Europa
Italia,60367477,301340,Europa
Reino Unido,67886011,243610,Europa
Portugal,10196709,92212,Europa
Rusia,145912025,17098242,Europa
China,1412600000,9596960,Asia
India,1380004385,3287263,Asia
Japón,125800000,377975,Asia
Indonesia,273523615,1904569,Asia
Pakistán,220892340,881913,Asia
Turquía,84339067,783562,Asia
Egipto,102334404,1001449,África
Nigeria,206139589,923768,África
Sudáfrica,59308690,1219090,África
Etiopía,117876227,1104300,África
Australia,25499884,7692024,Oceanía
